k,Training Error,Testing Error,Leave-one-out Error,
1,0.0,0.0633802816901,0.0316901408451,
3,0.0176056338028,0.0457746478873,0.0316901408451,
5,0.0176056338028,0.0528169014085,0.0281690140845,
7,0.0211267605634,0.056338028169,0.0387323943662,
9,0.0316901408451,0.0528169014085,0.0457746478873,
11,0.0422535211268,0.0457746478873,0.0422535211268,
13,0.0316901408451,0.0492957746479,0.0387323943662,
15,0.0352112676056,0.0528169014085,0.0422535211268,
17,0.0352112676056,0.056338028169,0.0387323943662,
19,0.0387323943662,0.056338028169,0.0422535211268,
21,0.0422535211268,0.056338028169,0.0422535211268,
23,0.0422535211268,0.0598591549296,0.0457746478873,
25,0.0457746478873,0.056338028169,0.0528169014085,
27,0.0528169014085,0.0598591549296,0.0528169014085,
29,0.0528169014085,0.0598591549296,0.056338028169,
31,0.0528169014085,0.056338028169,0.0528169014085,
33,0.0492957746479,0.0598591549296,0.056338028169,
35,0.0528169014085,0.0598591549296,0.0528169014085,
37,0.0492957746479,0.056338028169,0.0528169014085,
39,0.0528169014085,0.0528169014085,0.0633802816901,
41,0.0598591549296,0.0598591549296,0.0633802816901,
43,0.0598591549296,0.0598591549296,0.0669014084507,
45,0.0669014084507,0.0598591549296,0.0739436619718,
47,0.0669014084507,0.0598591549296,0.0669014084507,
49,0.0669014084507,0.0669014084507,0.0704225352113,
51,0.0669014084507,0.0598591549296,0.0669014084507,
